"福泰桔子(西門店)","中華路一段166之2","2880"
"丰居旅店","中華路一段114巷17號2樓","2680"
"東驛商旅","昆明街76號8-9樓","1680"
"銀河mini旅店","漢中街147巷6號","1600"
"沐藍棧渡假民宿","台北 石門區德茂村八甲路1號3樓","2300"
"阿里磅生態農場","台北 石門區乾華村阿里磅82之1號","1350"
"三芝小白屋","台北 三芝區芝柏路35號","5800"
"三芝寄居蟹","台北 三芝區淡金路一段","2500"
"悠閒時光度假會所","台北 三芝區淺水灣","3000"
"LaCasa嘴嘴的家民宿","台北 三芝區芝柏山莊觀海街3號","1500"
"藝術之家民宿","台北 三芝區迎旭街22號","1500"
"虹橋民宿","台北 三芝區八賢村1鄰八連溪1之5號","1980"
"牧羊女海邊民宿","台北 三芝區後厝村北勢子45之15號2樓","2600"
"杉夏精品民宿","台北 三芝區古庄村5鄰四棧橋36之1號","1980"
"塔卡的家民宿","台北 三芝區芝柏五街18號","1600"
"隨喻而安","台北 三芝區晴光街11號","2500"
"快樂天堂","台北 三芝區後厝里北勢子4-20號","1999"
"一畝田民宿","台北 三芝區茂長村陳厝坑19之2號","1980"
"四個孩子民宿","台北 三芝區茂長村芝柏路85號","1300"
"三芝洋房","台北 三芝區迎旭街13號","7800"
"淺水灣小旅店","台北 三芝區北勢子45-12號","11800"
"櫻芝戀","台北 三芝區淡金路一段","2000"
"宰相會館","台北 淡水區英專路79巷2號","1500"
"花田居","台北 淡水區石頭厝2之3號","600"
"漁人碼頭休閒旅館","台北 淡水區中正路二段22巷8號","2310"
"大自然養生會館","台北 淡水區淡金路一段96號","2660"
"歐朋侖旅店","台北 淡水區中山路93號9樓","1980"
"福容大飯店(淡水漁人碼頭)","台北 淡水區觀海路83號","10800"
"淡水日光行館民宿","台北 淡水區忠寮里破瓦厝子12號","5000"
"湯語雙泉民宿","台北 金山區環金路295號","2800"
"綠峰山莊","台北 金山區重和里三重橋22號","2100"
"劉住春天","台北 金山區名流路10巷11號","2500"
"陽明山天籟渡假酒店","台北 金山區重和里名流路1之7號","7800"
"陽明山出霧溫泉","台北 金山區山城路82之3號","8800"
"張醫師的家","台北 金山區中信南路二巷11號","10000"
"水田園農莊","台北 萬里區大鵬村加投路45之2號","1650"
"緹閣溫泉會館","台北 萬里區員潭路55號","2660"
"沐舍溫泉酒店","台北 萬里區萬里加投166之1號","3900"
"金湧泉溫泉會館","台北 萬里區萬里加投213之3號","3170"
"金湯溫泉會館","台北 萬里區大鵬里萬里加投路197之5號","2850"
"憩園民宿","台北 萬里區北基村愛二街24號","1500"
"海華休閒別墅","台北 萬里區龜吼村玉田路52號","2380"
"自然山居","台北 萬里區磺潭村員潭16之9號","1800"
"萬金溫泉民宿","台北 萬里區萬里加投45之6號","2160"
"悠然居民宿","台北 瑞芳區汽車路76號","1600"
"馬克村莊","台北 瑞芳區汽車路86號","400"
"九份阿源的家","台北 瑞芳區輕便路13號","2600"
"瑞芳橙橙民宿","台北 瑞芳區中正路10號2樓","1800"
"櫻沐居","台北 瑞芳區輕便路95號","2980"
"九份蘭櫻居","台北 瑞芳區汽車路9之14號","1980"
"途中‧九份","台北 瑞芳區烏勢巷23號","600"
"望幽谷民宿","台北 瑞芳區汽車路108之3號","1500"
"九份景棧民宿","台北 瑞芳區汽車路29號","1900"
"九份峇里民宿","台北 瑞芳區汽車路115號","1500"
"我們的家187","台北 瑞芳區山尖路187號","3800"
