"name","address","price","lon","lat"
"洛碁山水閣飯店","臺北市 中山北路二段181號",2500,121.5248517,25.0725939
"世聯商旅","臺北市 松江路90巷5號1之7樓",2850,121.5318797,25.0506481
"密都大飯店","臺北市 長春路246號",2193,121.538343,25.054569
"RF 比堤商旅","臺北市 建國北路二段93號",2795,121.5375401,25.0587062
"天閣酒店(南西店)","臺北市 南京西路3號",3700,121.5215847,25.0525979
"詠心商旅","臺北市 復興北路282號3樓",1760,121.5438413,25.0587886
"舞衣新宿(中山館)","臺北市 中山北路一段105巷15號",4800,121.5236758,25.0508276
"圓山大飯店","臺北市 中山北路四段1號",4299,121.5259891,25.0763881
"艾米旅店","臺北市 中山北路二段65巷2弄3號",500,121.523839,25.056758
"洛碁商旅(建北館)","臺北市 建國北路一段140號",3940,121.536168,25.051058
"丰居旅店(雙連館)","臺北市 民生東路一段42號2樓",2680,121.524486,25.0579234
"舞衣新宿(南京館)","臺北市 南京東路二段163號",2280,121.535985,25.052306
"台北和璞飯店","臺北市 樂群三路123號",3400,121.5549957,25.0829054
"柯達大飯店(松江店)","臺北市 松江路251號",3365,121.5334585,25.0593297
"新驛旅店(復興北路館)","臺北市 復興北路338號",2080,121.5440605,25.0594381
"洛碁富麗安飯店","臺北市 松江路95之1號5樓",1496,121.5333223,25.0508984
"伸適商旅","臺北市 林森北路477號",4199,121.5257356,25.0608703
"香都大飯店","臺北市 長安東路一段52號",2100,121.5279374,25.0482562
"台北馥華(敦北館)","臺北市 敦化北路4巷52號",2600,121.5450436,25.0503049
"城市商旅(南東館)","臺北市 南京東路五段411號",3299,121.5699586,25.051548
"幸福戀人旅館","臺北市 八德路四段626號3樓",1380,121.5745187,25.0499328
"首都(小巨蛋館)","臺北市 南京東路四段55-1號",3000,121.5524142,25.0518779
"首都大飯店(松山館)","臺北市 八德路四段658號",3445,121.5757035,25.0499407
"天閣酒店(復興店)","臺北市 復興北路147號",4935,121.544289,25.0537597
"南京小公館","臺北市 南京東路五段399號5樓",780,121.5696315,25.0515055
"福容台北","臺北市 建國南路一段266號",4840,121.53721,25.036628
"松哖酒店","臺北市 仁愛路三段8號",4200,121.5336077,25.0378762
"富裕自由商旅","臺北市 忠孝東路四段235號3樓",2150,121.553756,25.041762
"丹迪旅店(大安森林公園店)","臺北市 信義路三段33號",2520,121.5346745,25.0337218
"凱統飯店","臺北市 忠孝東路三段8號",1980,121.5332571,25.041986
"洛碁背包客棧","臺北市 忠孝東路四段107號7樓",650,121.5483089,25.0417523
"東鑫商務旅館","臺北市 忠孝東路四段209號11樓",1680,121.5522703,25.0416718
